opini_dokumen,opini_label
Lanjut,p
"Saran saya untuk ruang kelas tolong diperbagus terutama kursi, kursi tolong diganti dengan yang berbusa",p
Penyediaan tempat parkir yang lebih memadai supaya tidak kepanasan & kehujanan. pengecekan ruang kelas secara rutin supaya tetap nyaman. penyediaan & penataan ruang praktikum supaya lebih diperbaiki,p
"Diharapkan untuk perbaikan fasilitas penunjang seperti kipas, lantai dan papan tulis ",p
Perbaiki kelayakan kursi dan pendingin ruangan,p
Dosennya yang baru ditambah (teknik mesin),p
"Lcd diperbaiki kipas angin dan ac diperbaiki, koneksi internet ditambah dan dipercepat",p
Fasilitas yang ada dikampus harap diperbaharui ditambah kalo bisa atap kampus harap diperbaiki,p
"Mohon diperbaiki papan tulis & ac yang tidak berfungsi dengan baik & perbaiki kelayakan kelas (lantai, kursi)",p
Ruang kelas dan fasilitas tidak memadai,n
"1. mohon lebih memperhatikan papan tulis, lcd dan kebersihan ruangan, 2. koneksi internet ditambah dan dipercepat",p
Banjir,n
"Ojo pelit nilai dra. nuniek herawati, m.kom.",n
"Wifi lemot, kursi perlu diganti",n
"Kursi uzur ganti dengan yang baru, wifi kampus lemot wifi id tidak bisa diakses",n
Ac kurang panas,n
"Tolong bu dra. nuniek herawati, m.kom. dibantu nilainya",n
Kebersihan kelas dibersihkan,n
Ruangan kelas tidak ada nyaman2nya,n
Harap ruangan kampus i full ac dan mohon di perlengkap alat2 praktikum,p
Sudah mantap,p
"Ac seperti tidak hidup, ruang kelas jadi panas, proses belajar mengajar menjadi tidak kondusif",n
"Acnya kurang dingin, wifi kurang juga kampus akprind ini dicat ulang parkiran duiperluas/ditambah lagi",n
Sama ratakan ruang kelas dengan ruang para staf bayar larang tari ruangannya tidak mutu ac ra maen bos,n
"Ac kurang dingin, wifi kurang bagus bangku kuliah kotor",n
"Cara mengajar kurang efektif agus duniawan, s.t., m.eng",n
Wifi lemot danjangkauannya kurang atap didepan ruang baa mohon diperbaiki,n
Saran cctv di parkiran helm banyak yang hilang,p
Tolong parkiran dikasih cctv,p
Fasiklitas kurang,n
Tukang parkir tidur mulu gak mau ngrapikan motor gak bertanggung jawab wifi gak ada,n
Ditambahkan ruang bebas rokok,p
"Dikasih tanda peringatan didepan baa ""mahasiswa cerdas jangan ninggalin sampah"" katanya cinta lingkungan",n
Ac tidak dingin,n
Ac harap ditambah dan yang rusak diperbaiki,n
Semoga kedepanya membantukan lagi atm di sekitar kampus memperluas kompleks kampus ,p
Kelasnya panas acnya pada mati,n
"Mohon kedepanya bisa memperbanyak ohp dan lcd diganti whiteboardnya, lcd juga sering diganti karena sering rusak mohon kampus dan ruanganya bisa dicat ulang",p
Parkiran kurang luas,n
Lcd nya toolong diganti karena sudah tidak jelas ac nya tolong diperbanyak spidol jangan kosong,n
Parkiran kurang luas,n
Ac kurang dingin,n
Ac nya kurang dingin lcd kurang baik wifi nya kurang lancar,n
Spidol - lcd diperhatikan,n
"Tingkatkan ac ,spidol,lcd",n
"Ac dikelas tolong diperbaiki,kalau bisa ditambah, panass",n
"Remot lcd rusak/eror ruang s-202 ac kurang dingin, tidak berfungsi",n
Kelasnya dipasang ac,n
Prasarana kampus wajib diganti semua karena prasarana menunjang pembelajaran,p
Bangku kuliah sudah tidak layak parkiran diperluas gedung dicat ulang,n
Sarana ruangan dilengkapi,p
Sarana diruangan dimohon untuk dilengkapi lagi,p
Ruangan dilengkapi dengan kawasan wifi dan full ac,n
Ruangan kampus full pendingin dan kampus diperhijau serta diperbanyak penerangan,p
"Penggantian atau perbaikan kursi, wifi dipercepat, pengecatan uang pada tembok kelas",p
Ruang kelas dical ulang,n
"Tambahkan ac perkelas, panas, wifi kurang memadai",n
Kelas e sumuk,n
Kurang diupgrade kampusnya,n
Ac kurang dingin wifi harus gratis dosen harus bisa toleransi kepada mahasiswa,n
Ruang bagian barat agar dikasih ac supaya tidak gerah,n
Jangan banyak tugas,n
"Ac dikampus 3 dan 2 diadakan, kelayakan lcd ",p
Mohon buat jadwal praktikum dan teori jangan tubrukan atau bareng kalo praktek-praktek teori-teori fasilitas diperbaiki/diperbaharui,p
Ac dong pak,n
Ac ruangan ditambah dan atm dikampus !,n
Kelas kurang nyaman terlebih bangkunya penghijauannya mana?,n
Penambahan alat pendingin ruangan dan perawatan pendingin yang telah ada,p
Parkiran diberi atap,p
Ber ac,p
Kampus mohon direhab,p
"Mohon kebersihan tentang puntung rokok dan parkiran kampus 1 dirapikan, banyak barang yang dimotor hilang",p
Lebih ditingkatkan lagi sarana penunjangnya,p
Semua kelas harusnya memakai ac wifi sinyal sangat lemah,n
"Papan tulis yang layak ruang p21, ac juga",n
Mohon kampus segra rehab,p
"Sarana pendukung kelas agar diperbaiki lagi, contoh lcd sering eror, ac ga dingin",p
"Wifi adakan, tanam pohon peneduh!!!",n
Fasiltas teruatma ac diperbaiki,p
Fasilitas dosen dan mahasiswa kurang lengkap perlu dibenahi kembali,p
Ac,p
"Fasilitas kurang menunjang, ac gak mutu",n
"Memberikan penggunaan media teknologi pada saat pembelajaran gunawan budi susilo, s.pd.t., m.eng.",p
Tetap semangat,p
"Tolong sediakan ac,lcd dan spidol tambahan pada runagnan",p
Pelayanan perpustakaan ditingkatkan,p
"Diharaokan lcd,ohp dan ac",p
Wifi diperluas dan diperbaiki jaringannya disetiap sudut kampus terutama ruang hmj go green bebaskan asap rokok!!,p
"Saran agar fasilitas kampus ditambah dan lcd juga diganti yang baru, karena bayak lcd yang rusak,dan spidol yang lengkap alias kosong",p
"Wifi agar dapat masuk diruang kelas ac dikelas tidak dingin, mohon ditambah lcd yang sering eror diperbaiki penambahan spidol saat mengajar",p
Perbaiki ac disemua ruangan perbaiki lcd stok spidol yang banyak,p
Ac dalam ruangan kurang dingin mohon diperbaik di ruang b214,p
"Ac panas,spidol kering, kurang optimalnya penggunaan lcd fasilitas penunjagnya ditingkatkan",n
Untuk ruangan ac diganti dengan yang baru agar pembelajaran efektif dan efisien serta dalam memberikan tugas disesuaikan dengan ...,p
Ac kurang dingin,n
Penilaian harus adil ac kurang dingin,n
Tingkatkan kualitas lcd dikelas dan ac,p
Ganti kursi lipatnya,p
Ac tidak dingin dan lcd kurang ac atau accesoris spidol diperhatikan,n
Tambah referensi perpustakaan,p
Acnya panas banyak coretan di dinding yang buat tidak nyaman,n
Spidol kurang mendukung kursi tidak nyaman cat tembok yang kurang bersih lcd kurang mendukung semoga dapat diperbaiki lagi,n
"Penjelasan kurang sebaiknya dijelaskan sampai mahasiswa memahami aji pranoto, s.pd., m.pd.",n
"Kelas kurang bersih, wifinya gak nyampe dalam kelas",n
Ruangan kurang ac,n
Wifi ac dan lcd di kampus 2 tempat diskusi di kampus 2,p
Ac kurang dingin,n
Mohon fasilitas wifi (ista slot a/b/c) dimaksimalkan/ditingkatkan,p
"Dimohon kalau menilai jangan pilih2 harus adil pak aji pranoto, s.pd., m.pd.",n
Tingkatkan kekompakan mahasiswa mesin salam m solidarity forever,p
"Mohon untuk lebih menghidupkan lagi suasana kelas karena banyak mahasiswa mengantuk dan tidak konsen dalam pembelajaran aji pranoto, s.pd., m.pd.",p
Ruangan masih panas perlu ditambah ac,n
"Lebih tegas lagi ben ojo podo ngantuk mahasiswane pak aji pranoto, s.pd., m.pd. semangat",p
"Ac setiap ruangan ditambah, masih pans kursi dikelas ganti dengan yang baru",p
Ac kadang tidak fungsi/rusak,n
"Mohon ruangan dibikin hidup dan saling berpendapat antar dosen dan mahasiswa aji pranoto, s.pd., m.pd.",p
Kursi diganti baru lcd diganti spidol kurang ac harus diganti/ditambah wifi harus ada,p
Semangat,p
Tingkatkan fasilitas kampus ini bayaran mahal tapi fasilitas mengecewakan,n
Ac rusak mohon diganti membuat ruang tidak nyaman,n
Sarana internet/wifi kurang atau tidak meluas,n
"Keramik ruang b1.11 ada yang pecah , ac tidak terasa",n
Pendingin ruangan diperbaiki,p
Perbanyak ac perluas jaringan wifi,p
"Ditingkatkan lagi cara pembelajaran agar semakin sukses aji pranoto, s.pd., m.pd.",p
Terimakasih,p
Kursi2 diruang kelas tidak baik ganti baru,n
Lebih banyak untuk memberi contoh soal (asas teknik kimia),p
Fasilitas ditingkatkan acnya ,p
Ac diruangan b214 tidak berfungsi dengan baik sehingga menggangu kenyamanan mahasiswa dalam belajar ,n
Ac tak fungsi secara maksimal,n
"Fasilitas atm dilingkungan kampus, wifi gratis tanpa password, jaringan wifi diperbanyak dan dipercepat, listrik diarea hotspot, jangan suka putus",p
"Perlunya tempat khusus untuk peroko, perlu diperhatikan fasilitas wifi",p
Meningkatkan akses internet,p
"Koneksi internet diperbaiki, tempat diskusi diperbanyak, dilarang merokok dikampus",p
Dosen terlalu cepat menerangkannya (atk),n
"Penyediaan parkir yang memadai, supaya tidak terkena hujan, penambahan spot-spot untuk santai dan sarana belajar",p
"Perlengkap alat praktikum, perlengkap koleksi perpustakaan",p
Mohon ditingkatkan kenyamanan mushola kampus ii (kotabaru),p
"1. kebersihan ruangan perlu diperhatikan, 2. koneksi internet juga perlu diperhatikan",p
"Disarankan untuk bisa lebih mengejaka semua mahasiswa untuk lebih aktif, terima kasih (kewarganegaraan 01)",n
Tolong untuk memperbaiki fasilitas pendingin dan lantai serta papan tulis,p
Bisa menerima kritikan/pendapat dari mahasiswa (kewarganegaraan 01),p
Harap papannya sering dibersihkan ,n
"Penjelasan materi terlalu cepat v ruangan sebelah barat panas, tidak layak, kotor",n
Sebaiknya fasilitas kertas diperbaharui,p
Penjelasan materi dan latihan soal uas sangat diperlukan (kewarganegaraan 01),p
Ac diperbaiki,p
Kelasnya bocor kalau hujan bangkune atos ac nyakurang fungsi kadang tidak kurang bersih,n
Mohon ac dikelas ba kampus 1 diperbaiki dan dikampus 3 tolong diberi ac,p
Fasilitas penunjang kegiatan pembelajaran ditingkatkan,p
"Ruang kelas panas, ac mati",n
Kelas kotor sarana wifi ditambah,n
Sarana parkir perlu ditambah,p
"Kebersihan kampus 2 gak layak, besarin dong, sama toiletnya, ac juga",n
"Pemberian modul yang menunjang pembelajaran aji pranoto, s.pd., m.pd.",p
"Acnya panas, perbaiki lagi ",n
Perbaiki sarana & prasarana kelas,p
"1. sediakan fasilitas atm, 2. sediakan parkiran sepeda, parkiran motor diperluas, 3.lingkungan kampus masih kurang asri, 4.tambah wifi & perbaiki wifi yang sudah kurang layak",p
Acnya gak dingin dibrosurnya kan ada tulisan full ac tapi acnya gak dingin,n
Mohon diperbaiki fasilitas kelas (lantai &kursi( yang rusak dan kerusakan ac dikelas b1.10,p
Konesi internet ditambah dan dipercepat,p
Sepertinya mengisi quisioner dari dulu tidak pernah ada perubahan signifikan hanya beberapa saja komentar yang ditanggapi harap betul2 dimanfaatkan dan memajukan ,n
Terimakasih,p
"Bapak dosen keren prabuditya bisma wisnu, s.t., ",p
Mohon dipertahankan lagi dan tingkatkan semoga sukses,p
"Lebih tegas dalam memperlakukan mahasiswa prabuditya bisma wisnu, s.t., ",p
"Mohon kipas angin ditambah, panas",n
"Pak prabuditya bisma wisnu, s.t., memang top",p
Tolong dikasih ac buat ruang b218,p
"Setuju dengan pembelajaran anda pak prabuditya bisma wisnu, s.t., mahasiswa nyaman dan tak tertekan dengan kondisi apapun",p
Acnya kurang adem,n
Faslitas internet perlu diperbaiki,p
Fasilitas kelas diperbaiki,p
Bandwith wifi tolong diperbesar masih lemot tempat belajar mahasiswa depan baa bocor tolong diperbaiki,p
Kurang acnya,n
Ditingkatkan lagi,n
"Biasakan menggunakan bahasa indonesia pada waktu proses belajar mengajar prabuditya bisma wisnu, s.t., ",p
Harus + ac,n
Ruangan kelas kurang nyaman dan kurang ac,n
Wifi kampus yang kurang yang geratis dan cepat,n
Tembok kotor perlu dicat ulang wifi perlu diberi password yang gampang,n
"Pemberian nilai tolong diberikan dengan tepat mahasiswa ada yang dirugikan dengan nilai yang tidak sesuai aji pranoto, s.pd., m.pd.",p
Lokasi kampus yang sangat kecil sehingga mahasiswa kurang leluasa dalam menjalankan kegiatan ukm,n
Wifi sangat jelek,n
"Pokoknya dosen yang paling jos di ist akprind ya cuma pak aji pranoto, s.pd., m.pd. yang bisa mengerti mahasiswa dan sabar tidak apa2 marah/sombong",p
Ruangan dibenerkan banyak lampu2 gak menyala ruangan sangat kumuh,n
Sarana tempat mahasiswa,p
Setiap agar diberi ac yang layak,p
Ruang kuliah harus lebih nyaman dan asik,p
Kudu strong,p
Fasilitas kelas ditingkatkan,p
Tolong perhatikan surat ijin yang diberikan mahasiswa kelasnya panas bos s106,n
"Kebersihan kampus perlu diperbaiki, penghijauan kampus sangat perlu, panas",p
"Sebaiknya ruang kelas dikasih ac biar lebih dingin lagi dan nyaman ketika belajar, bangku mahasiswa diganti dengan yang berbusa",p
Tingkatkan lagi,p
Ruang kelas harap dicat ulang agar belajar dadi lebih nyaman,p
Wifinya kurang greget,n
"Pertahankan dan terus tingkatkan pak aji pranoto, s.pd., m.pd. good job",p
Bangku kuliah tidak layak tolong diganti yang agak nyaman harap diganti keramik ac kurang dingin,n
Meningkatkan fasilitas kampus maupun kelas,p
"Kursi perlu diperbaharui dan wifi id kurang lancar perlu ditingkatkan, lcd kadang rusak, papan tulis kelihatan kotor sekali",n
"Kursinya banyak yang goyang2 tembok kotor banyak coretan banyak sampah di kursi, kipas angoin",n
Mohon ditambahkan peralatan lab terutaman gps untuk kita kelapangan fasilitas mahasiswa diperbanyak bukan yang diperbanyak fasilitas oarang2 petinggi,p
"perbaik ac, tambahkan spidol di setiap ruang, ganti lcd yang baru perbaiki/tambahkan komputer portal akprind, tambahkan kecepatan wifi di kampus tambahkan ruang praktikum untuk teknik geologi",p
Tolong dipasang wifi dilantai bawah terutama didepan baa ac ditambah lagi setiap kelas,p
Jika saat mengentry krs tolong harus sesuai dengan dosen yang sudah di entri yang seperti sekarang ini dalam krs berbeda dengan dosen yang mengajar,n
Fasilitas jelek,n
"Tolong diperhatikan lagi ini kampus bukan mess/kos kosan masih banyak mahasiswa yang tidur, mandi dikampus",n
"Menambahkan bangku hotspot, ac setiap kelas, memperbaiki air mancur, ditambahkan atm kampus cabang bri, menambah wifi dikampus 3",p
Kita butuh wifi dan ac baru pak proyektor juga lap[top berwarna biru yang muncul kuning,n
Tolong ac tempat parkiran motor,p
"Tolong pak, buk, wifi dong dipasang tolong tolong tolong dicat kelas dan ac lagi",n
Board marker lcd/ohp ac diperbaiki setiap kelas harus ditambah wifi,p
Tolong lcdnya diganti,p
"Tolong ditambahkan wifinya agar lebih mudah dalam mengakses informasi2 dan tolong ganti proyektor yang tidak layak pakai, tambahkan ac dan kipasnya",p
"Sarana penunjang (ohp, lcd, white board, ac, wifi)m harap diperhatikan",p
"Mohon perbaiki ac dan koneksi internet dll memberi nilai yang dalam syarat dr. sri mulyaningsih, s.t., m.t.",p
Tolong lcd dan ac lebih diperhatikan atau ditambah agar suasana belajar nyaman mohon dicat ulang kembali ruang kelas dan kampus agar orang2 tertarik dan nyaman masuk ke kampus tolong sediakan wifi didalam kelas maupun dikampus (gratis),p
Parkiran diperaman lagi pertambahan lab wifi ditambah,p
"Ac, lcd, spidol dan papan tulis kurang sekali dalam pengecekan tempat parkir perlu perluasan cctv dan penataan kembali pengecekan nilai tidak perlu lewat portal kampus, bisa dilakukan di rumah",n
"Ac, lcd, spidol di[erbaiki supaya layak pakai",n
Wifi dan kebersihan kampus diperbaiki,p
"Spidol tidak layak, lcd tidak layak",n
Lcd proyektor diganti ssemua yang lebih modern,p
Ac panas naikin pknya,n
Sediakan ohp yang baru,p
Ruangan belajar harus digant icat nya biar fresh,p
"Lcd dan proyektor, wifi dan ac yang sangat tidak memadai kalah dengan standart sma",n
Ac mohon difungsikan semstinya wifi gratis disetiap pojok perluas parkiran proyektor diperbaharui kantin ditambah dan diperluas,p
Ac mati ruangan bocor,n
"Sarana hotspot di depan baa harap diperbaiki atapnya, bocor",p
Perlu ditingkatkan lagi fasilitas yang ada dikampus terutama dikampus 2 dan 3,p
Ac ganti baru bila perlu ruangan ditambah ac,p
Tanam pohon suhu 40 derajat c,p
Tegelnya diganti keramik agar terlihat modern sedikit ac kurang dingin,p
Kelasnya terlalu panas sehingga proses belajar terganggu,n
Ac ruangan ditambah dan atm kampus,p
Sarana dan prasarana,p
Perketat presensi mahasiswa karena banyak yang titip absen,p
Perketat presensi mahasiswa karena banyak mahasiswa yang hanya titip absen makasih,p
Lebih ditingkatkan lagi sarana penunjang,p
Fasilitas ruaangan kurang,n
"Tulisanya diperjelas dan pengajaranya jangan cepat cepat (drs.yudi setiawan, m.s, m.sc)",p
"Agar mahasiswa tidak jenuh, bagaimana mahasiswa diberikana istirahat 15 menit karena disamping kaku dan agar tidak bosan",p
"Dosen regenerasi diganti yang lebih fresh dan berkompeten ac tidak dingin tulisan dosen kecil dan tidak mau dikritik (drs.yudi setiawan, m.s, m.sc)",n
"Tolong berikan kesempatan mahasiswa untuk menulis tulisan dosen terlalu kecil (drs.yudi setiawan, m.s, m.sc)",p
Ac nya panas,n
Saran saya ketika mahasiswa izin untuk melakukan praktikum tolong dikasih izin,p
"Diperbanyak contoh aplikasi pada sehari-hari sigit priyambodo, st.,mt.",p
Harap segala yang menunjang kreativitas mahasiswa selalu ditingkatkan,p
Perpustakaan sering bocor terutama penjaga perpus,n
"Harus lebih semangad lagi ya bu dan harus pelan dalam mengajar kami (dra.noeryanti, m.si)",p
Lebih banyak dosen terbang yang berkualitas,p
Perbaiki lcd dan sediakan ohp kaerna kebanyakan ohp tidak mempunyai tinta,p
Koleksi buku di perpustakaan perlu ditingkatkan dan kenyamanan juga,p
Wifi setiap kelas/ruangan,p
Supaya menjelaskan lebih diberi contoh sesuai contohnya fasilitas agar lebih ditingkatkan lagi,p
Perbaiki plafon,p
"Lengkapi sarana prasarana kampus ,tolong dikampus pasang wifi, udah bayar kuliah mahal-mahal",n
"Kenyamanan kelas diperhatikan (ohp,lcd,ac)",p
Ac ditambah atau diperbaiki kalau siang panas sekali,n
Spidol diisi ac jangan jadi pajangan saja pak/ibu,n
"Perhatikan ketersediaan ohp, kiipas dan ac",p
Saran saja untuk ac dinginya nggak maksimal ini ac apa variasi kacanya jangan transparan karena pantulan panas jadi percuma ada ac tapi panas,n
Lebih baik lagi dan kompeten ,p
Harap diperbaiki ac di ruangan bagian b terutama ruangan b-214 karena mahasiswa kurang nyaman saat belajar,p
Memberikan kelayakan sepenuhnya bagi mahasiswa,p
"Cukup baik, kedepanya diperbaiki lagi",p
Perbanyak ac dan spidol,p
Tolong diberi microfon di kelas,p
Tingkatkan pengendalian terhadap mahasiswa,p
Cukup sekian dan terimakasih,p
Kampus 3 butuh wifi,n
Nyalakan wifi dikampus 3,p
Mohon diruangan kelas dosen disediakan ac dan fasilitas wifi,p
Kurang toilet,n
Tidak ada saran apapun,n
Wifi gratis kami butuh,n
Fasilitas free wifi perlu ditambah jangkauannya diberi ac untuk ruang 32,p
Ruang kelas p32 sangat membutuhkan rekondisi udara yang lebih baik (pasang ac),p
Kelasnya panas pak wifinya juga ga bisa,n
Wifi kurang kencang,n
"Pakailah bahasa indonesia pada waktu mengajar dikelas emy setyaningsih, s.si.,m.kom.",n
Papan tulis perlu dibersihkan dan ohp diperjelas tampilannya,p
Tingkatkan kenyamanan ruangan,p
Ac kurang dingin tolong diganti freon juga diservis,n
No,n
"Lebih diperbaiki sarana sekolah seperti ac, karna ac banyak yang rusak dan mengecat ulang gedung supaya terlihat indah",p
"Tingkatkan performa anda pak ir. saiful huda, mt. dan terus berikan referensi menarik buat bahan pembelajaran kami",p
Fasilitas belum nyaman bagi mahasiswa karena tidak bersih dan ada yang rusak,n
"Fasilitas kelas kurang bagus seperti ac, kurang banyak kursi kurang bagus masih memakai kayu",n
"Saran untuk kedepannya dalam memberi materi tidak tergesa-gesa ir. saiful huda, mt.",n
Ac diruang s106 kurang dingin lcd jelek kaca jendela perlu penghalang agar cahaya tidak silau kedalam,n
Mungkin untuk belajar mata pelajaran ini baik tetapi dalam ruangan ini saya sarankan untuk menutup setengah kaca agar tidak menggangu matakuliah yang diajarkan,p
Kelas kurang bersih dan juga kurang pewangi,n
Tambah bagus jangan buang sampah sembarangan ac ruang s106 kurang dingin,n
Kelas kurang bersih dan kurang emmakai pewangi kursi duduk tidak enak dan tidak empuk karna tidak memakai kursi yang bagus,n
"Untuk matakuliah metalurgi fisik saya sarankan untuk mengadakan modul dalam pembelajaran serta mengadakan e-learning agar dapat mengakses pembelajaran via internet ir. saiful huda, mt.",p
Penunjang kuliah lapangan diperbanyak,p
"Waktu kuliah kalau bisa on time agar materi lebih banyak waktu untuk memahami (ani purwanti, s.t, m.eng)",n
Tolong pasang wifi dan ac dikampus 3 secepatnya,p
Harap proyektornya diperbaiki,p
Nyalakan wifi dikampus 3,p
Harap menambahakan video atau animasi yang bisa membantu mahasiswa mengerti materi yang disampaikan,p
"Terkadang kita menunggu cukup lama karena dosen yang datang tidak tepat (ani purwanti, s.t, m.eng)",n
"Lebih banyak latihan soal (ani purwanti, s.t, m.eng)",p
Wifi ac,p
Semoga ibu dapat mengajar lebih baik lagi,p
Ac dan wifi ditambahkan,p
"Ketetapan waktu pelankasanaan awal mulai kuliah sering molor penjlasan yang diterangkan susah difahami (ani purwanti, s.t, m.eng)",p
"Ketika memberi materi mohon lebih jelas lagi karena banyak teman2 dari sma dan sekolah non teknologi yang kurang mengerti / sangat asing dengan materi andrean emaputra, s.t., m.sc.",n
Lanjutkan,p
Tepat waktu adalah salah satu hal yang penting,p
"Lebih meningkatkan kerjanya agar mahasiswa lebih berprestasi andrean emaputra, s.t., m.sc.",p
"Semoga lebih baik lagi dalam mengajar (ani purwanti, s.t, m.eng)",p
Tingkatkan ,p
Ditingkatkan kenyamanan kelas,p
"Ac nya kurang dingin jangan terlalu cepat saat berbicara karena tidak semua anak dapat mendengarkan dengan cepat (ani purwanti, s.t, m.eng)",n
Indah,p
Diberi ac,p
Lebih baik dalam mengajar,p
Sudah baik pertahankan,p
Lebih memperbanyak latihan soal,p
"Mohon untuk lebih tegas andrean emaputra, s.t., m.sc.",p
Kurang toilet,n
Tingkatkan yang bernilai 3,p
Tolong kipas/acnya ditambah lampu2nya diperbaiki,p
Kursi2 tunggu diperbanyak didepan kelas,p
"Kurang spesifikasi dalam mengajar drs. petrus wisnubroto, m.si.",n
Seharusnya didalam kelas terdapat wifi supaya memudahkan mahasiswa dalam mengakses internet,p
Wifi diaktifkan dan diperluas papan tulis diganti dengan yang baru,p
Wifi mohon untuk menunjang perkuliahan,p
Wifi gratis diperluas,p
"Tolong ac nya diperbaiki gak ada efeknya ac nya, mahasiswa kepanasan",n
"Untuk ruangan s-2020 sampai s-207 ac dan oh{ diperbaiki agar mahasiswa bisa belajar dengan nyaman, untuk didepan baa hotspot dibenahi",p
"Ac ruangan ditambah ,wifi kampus tolong diperbaiki sehingga tidak mengganggu mahasiswa dalam proses pembelajaran",p
"Diharapkan pelenggaraan matakuliah lebih tertib, seringkali mahasiswa ndak memperhatikan diskusi yang dilakukan dalam kelas bambang kusmartono, st., mt.",p
"Lebih banyak memberikan penjelasan kepada mahasiswanya tentang materi bambang kusmartono, st., mt.",p
"Optimalkan penggunaan wifi desemua kampus bagian tanpa terkecuali, go green, bebaskan kampus dari asap rokok",p
Tolong tambah fasilitas pendingin ruangan dan jika sudah ada pendingin ruangan harap dijaga sering dibersihkan,p
Perbaikan fasilitas kerapian lingkungan menyediakan mesin atm menyediakan wifi gratis,p
Kerapian dan kebersihan kampus,p
Kebersihan lingkungan kampus lebih diperhatikan,p
"Lebih ditingkatkan lagi, sudah selayaknya fasilitas penunjang lebih dilengkapi agar mahasiswa mampu bersaing",p
Perlu ditingkatkan fasilitas dikampus terutama loket pembayaran sebisanya dibuat lebih dari satu agar pembayaran tidak menumpuk,p
Ac ditambah dan wifi kampus diperbaiki sehingga tidak mengganggu mahasiswa dalam proses belajar,p
Tugas kuliah lebih baik lagi agar lebih paham materi kuliah kenyamanan kelas kurang karena kadang ac tidak dingin wifi tidak layak,n
Mesin atm tolong untuk bank umum ac dikelas kurang percepat koneksi internet kampus,n
Ganti ac baru,n
Ac di kelas didinginkan dan dirawat agar tidak jadi hiasan saja,n
Acnya kurang dingin,n
Ac yang ruang b110 diganti yang baru,p
Runagan kelas panas dan ac tidak dingin lcd diperbarui supaya tidak mati mati spidol kurang baik papan kotor,n
Tinta spidol ditambahkan jika habis warna lcd berbeda ac tidak dingin,n
Untuk kedepan fasilitas penunjang dalam ruang stratigrafi seperti ac diganti kalau tidak diperbaiki,p
Kalau bisa dijaga kebersihanya dan ac harus didinginkan agar kami nyaman,p
"Fasilitas spidol,ac setiap hari dicek kelayakanya",p
"Kenyaamanan dakam ruang kelas sangat kurang ac harus diperbaiki karena kadang tidak dingin sehinggan mengganggu proses belajar mengajar,spidol diperbanyak",p
Fasilitas diperhatikan,p
Lcd kurang memadai ac juga ngecek nilai bisa dari luar kampus,p
"Ac,lcd,spidol diperhatikan",p
"Spidol ,lcd,ac diperhatikan",p
"Tempat parkir kurang bersih ,kampus buruk kebersihanya papan tulis kotor",n
"Ac ditambah lcd diperbaiki spidol mati komputer kampus terlalu dikit, jadi harus antri student lounge diber kipas angin",n
"Ac ditambah,setidaknya biar kelasnya tidak panas lcd diganti karena sering mati",n
"Ac nya ditambah, panas jangan cuma baa yang lcd nya mati",n
Ac kurang dingin lcd sering tidak berfungsi spidol harus diisi renovasi akprind dan t.geologi harus punya gedung,n
Mohon untuk mengganti kabel vga pada lcd nya dan ac kurnag dingin kpan kampus 3 ada ftm,p
Penmabahan fasilitas di dalam kelas dan penggantian fasilitas yang telah rusak peningkatan jaringan internet,p
Perbaikan pada lcd proyektor s207 ac ditambah fasiitas wifi kampus ditingkatkan dan spidol sering habis,p
Buat atm ac kurang dingni ,n
Plafon kotor,n
"Whiteboard mohon diperhatikan parkiran semrawut tolong dirapikan lagi ac tidak dingni, cuma aksesoris",n
"Saran untuk prasarana penunjang pembelajaran harap diperhatikan seperti kelayakan lcd dan ac, serta alat tulis perlu diganti, spidol kosongan",p
"Tolong ac ditambah, 2 tidak cukup kurang nyaman kebersihan whiteboard harus ada spidol juga, beri kami mkenyamanan dalam belajar",n
Ca kurang dingin spidol jelek ohp/lcd buruk wifi kurang kampus kurang hijau,n
Ac diberi pemeliharaan atm diadakan lcd dipelihara,p
Spidol diisi ac kurang dingin wifi dan lcd macet,n
"Ac gak dingin sama sekali, kipas angin hilangin pasang ac baru lcd warnanya tidak terang,whiteboard kotor",n
Tolong ac nya,n
Lcd diperbaharui ac diperbarui parkiran diperbesar kopma diperluas alt kuliah dilengkapi,p
Semoga lebih baik kedepanya supaya bisa makin bagus penilaian dari amahasiswa ruang kelas panas,p
Mohon ruang kelas untuk yang kipas rusak segera diperbaiki ac ada yang tidak dingin,p
"Ac ,lcd ,spidol perlu diperbaiki sehingga mahasiswa dapat kenyamanan dalam belajar",p
Tambah atm bri,p
Kelasnya panas ac tolong diperbaiki/ganti,n
Ac wifinya kurang parkir sepeda,n
Ruangan diberi ac semua,n
Kampus 1 dicat ulang kampus butuh tempat sampah,p
"Wifi dalam kelas, cctv",p
"Perlu wifi,kantin,pohon,parkiran,sarana olahraga (penting",p
"Acnya kurang dingin, sampah diruang hotspot banyak sekali, banyak puntung rokok diharapkan diberi banyak peringatan",n
Kampus terpadu,p
Kendaraan bermotor susah parkir,n
Ruang tunggu (kursi tunggu) untuk mahasiswa sebaiknya diletakan di depan masing2 ruangan,p
Wifi ditingkatkan kecepatannya dilarang merokok diarea kampus,p
Kebersihan dan ac kurang dingin,n
"Kristalografi c : bahasa dalam menyampaikan materi jangan terlalu tinggi, kurang bisa memahami karena materi yang disampaikan terlalu cepat",n
